Pulsar,DM pc cm^-3,P0 s,W50 ms,S1400 mJy,SW50 mJy,TBmax K,SRMS mJy,tau_5sigma,V_trans km/s,D_3months AU
B0329+54,26.8,0.715,6.6,203.0,21976.9,107.8,38.2,0.009,159.8,8.3
B0355+54,57.1,0.156,2.0,23.0,1798.4,110.3,32.9,0.091,65.1,3.4
B0736-40,160.9,0.375,25.0,112.6,1688.6,56.7,10.1,0.030,361.3,18.8
B0833-45,67.8,0.089,1.7,1050.0,55173.4,81.2,22.6,0.002,78.5,4.1
B0835-41,147.2,0.752,4.4,35.0,5978.8,113.1,49.4,0.041,121.1,6.3
B0950+08,3.0,0.253,8.6,100.0,2942.6,13.0,9.3,0.016,36.7,1.9
B1133+16,4.8,1.188,5.8,20.0,4096.3,19.5,26.4,0.032,659.0,34.3
B1556-44,56.0,0.257,6.3,37.0,1509.7,57.2,16.8,0.056,144.3,7.5
B1641-45,478.7,0.455,8.0,300.0,17065.4,118.2,29.3,0.009,--,--
B1642-03,35.8,0.388,3.8,25.8,2628.1,57.2,26.5,0.050,389.2,20.2
B1706-16,24.9,0.653,8.9,15.0,1100.7,59.6,22.9,0.104,125.3,6.5
B1713-40,306.9,0.888,9.6,1.1,101.7,84.4,30.6,1.506,--,--
B1737-30,151.9,0.607,3.0,8.9,1800.4,119.3,55.6,0.154,--,--
B1742-30,88.4,0.367,4.7,21.0,1641.7,117.9,34.3,0.104,46.8,2.4
B1749-28,50.3,0.563,6.6,48.0,4091.4,116.2,35.5,0.043,6.1,0.3
B1929+10,3.2,0.227,5.6,29.0,1173.0,47.3,15.4,0.066,152.0,7.9
B1933+16,158.6,0.359,6.5,58.0,3201.1,67.6,21.1,0.033,282.9,14.7
B2016+28,14.2,0.558,15.5,30.0,1079.9,85.9,19.3,0.089,31.2,1.6
B2020+28,24.6,0.343,10.4,38.0,1254.7,88.3,18.8,0.075,239.0,12.4
B2021+51,22.6,0.529,11.9,27.0,1200.7,30.0,13.8,0.057,107.8,5.6
